iter	Passed	Remaining
577	4152	3031
578	4159	3024
579	4166	3016
580	4172	3009
581	4179	3001
582	4186	2994
583	4192	2986
584	4199	2979
585	4206	2971
586	4212	2963
587	4219	2956
588	4226	2948
589	4232	2941
590	4239	2933
591	4246	2926
592	4252	2918
593	4259	2911
594	4265	2903
595	4272	2896
596	4278	2888
597	4285	2880
598	4291	2872
599	4297	2865
600	4304	2857
601	4310	2850
602	4317	2842
603	4323	2834
604	4329	2827
605	4336	2819
606	4343	2811
607	4349	2804
608	4356	2796
609	4362	2789
610	4369	2781
611	4375	2774
612	4382	2766
613	4388	2758
614	4395	2751
615	4401	2743
616	4408	2736
617	4414	2728
618	4420	2721
619	4427	2713
620	4433	2705
621	4441	2699
622	4448	2692
623	4455	2684
624	4463	2677
625	4470	2670
626	4477	2663
627	4484	2656
628	4490	2648
629	4497	2641
630	4504	2634
631	4511	2626
632	4518	2619
633	4525	2612
634	4533	2605
635	4539	2598
636	4547	2591
637	4554	2584
638	4562	2577
639	4569	2570
640	4576	2562
641	4582	2555
642	4589	2548
643	4596	2540
644	4603	2533
645	4611	2527
646	4619	2520
647	4626	2513
648	4633	2506
649	4641	2499
650	4649	2492
651	4657	2485
652	4664	2478
653	4672	2471
654	4680	2465
655	4687	2457
656	4694	2450
657	4701	2443
658	4708	2436
659	4715	2429
660	4722	2422
661	4730	2415
662	4737	2408
663	4745	2401
664	4753	2394
665	4760	2387
666	4768	2380
667	4774	2373
668	4781	2365
669	4789	2358
670	4795	2351
671	4802	2344
672	4810	2337
673	4817	2330
674	4824	2323
675	4832	2315
676	4839	2308
677	4846	2301
678	4854	2295
679	4862	2288
680	4869	2281
681	4877	2274
682	4884	2266
683	4891	2259
684	4898	2252
685	4905	2245
686	4912	2238
687	4919	2231
688	4927	2223
689	4934	2216
690	4941	2209
691	4948	2202
692	4956	2195
693	4963	2188
694	4971	2181
695	4978	2174
696	4986	2167
697	4993	2160
698	5000	2153
699	5008	2146
700	5016	2139
701	5023	2132
702	5031	2125
703	5039	2118
704	5046	2111
705	5055	2105
706	5063	2098
707	5071	2091
708	5079	2084
709	5087	2078
710	5095	2071
711	5103	2064
712	5111	2057
713	5119	2050
714	5128	2044
715	5135	2037
716	5143	2030
717	5151	2023
718	5159	2016
719	5167	2009
720	5174	2002
721	5182	1995
722	5190	1988
723	5198	1981
724	5206	1974
725	5214	1967
726	5222	1960
727	5230	1954
728	5238	1947
729	5246	1940
730	5254	1933
731	5262	1926
732	5270	1919
733	5277	1912
734	5285	1905
735	5292	1898
736	5300	1891
737	5308	1884
738	5316	1877
739	5324	1870
740	5332	1863
741	5340	1856
742	5347	1849
743	5355	1842
744	5363	1835
745	5371	1828
746	5378	1821
747	5386	1814
748	5394	1807
749	5401	1800
750	5409	1793
751	5417	1786
752	5425	1779
753	5433	1772
754	5442	1766
755	5451	1759
756	5460	1752
757	5468	1746
758	5477	1739
759	5486	1732
760	5494	1725
761	5504	1719
762	5512	1712
763	5520	1705
764	5528	1698
765	5536	1691
766	5544	1684
767	5551	1677
768	5559	1669
769	5567	1662
770	5574	1655
771	5582	1648
772	5591	1641
773	5599	1634
774	5607	1627
775	5614	1620
776	5622	1613
777	5630	1606
778	5638	1599
779	5646	1592
780	5654	1585
781	5662	1578
782	5669	1571
783	5677	1564
784	5684	1556
785	5692	1549
786	5700	1542
787	5707	1535
788	5715	1528
789	5723	1521
790	5730	1514
791	5738	1507
792	5745	1499
793	5752	1492
794	5758	1484
795	5765	1477
796	5772	1470
797	5778	1462
798	5785	1455
799	5792	1448
800	5798	1440
801	5805	1433
802	5812	1425
803	5818	1418
804	5825	1411
805	5832	1403
806	5838	1396
807	5846	1389
808	5853	1381
809	5860	1374
810	5867	1367
811	5874	1360
812	5880	1352
813	5887	1345
814	5894	1337
815	5901	1330
816	5908	1323
817	5915	1316
818	5922	1308
819	5929	1301
820	5936	1294
821	5943	1287
822	5950	1279
823	5957	1272
824	5964	1265
825	5971	1257
826	5977	1250
827	5984	1243
828	5991	1235
829	5997	1228
830	6004	1221
831	6011	1213
832	6018	1206
833	6024	1199
834	6032	1191
835	6038	1184
836	6046	1177
837	6053	1170
838	6060	1162
839	6066	1155
840	6073	1148
841	6079	1140
842	6086	1133
843	6092	1126
844	6099	1118
845	6105	1111
846	6112	1104
847	6118	1096
848	6125	1089
849	6132	1082
850	6139	1074
851	6145	1067
852	6152	1060
853	6159	1052
854	6166	1045
855	6172	1038
856	6179	1031
857	6185	1023
858	6192	1016
859	6198	1009
860	6205	1001
861	6211	994
862	6218	987
863	6224	979
864	6231	972
865	6238	965
866	6246	958
867	6253	951
868	6261	943
869	6268	936
870	6274	929
871	6281	922
872	6288	914
873	6295	907
874	6302	900
875	6309	893
876	6316	885
877	6322	878
878	6329	871
879	6336	864
880	6342	856
881	6349	849
882	6356	842
883	6363	834
884	6369	827
885	6376	820
886	6382	813
887	6389	805
888	6396	798
889	6402	791
890	6409	784
891	6416	776
892	6422	769
893	6429	762
894	6436	755
895	6444	747
896	6451	740
897	6458	733
898	6465	726
899	6472	719
900	6482	712
901	6490	705
902	6497	697
903	6504	690
904	6511	683
905	6518	676
906	6525	669
907	6532	661
908	6540	654
909	6547	647
910	6554	640
911	6561	633
912	6568	625
913	6576	618
914	6584	611
915	6592	604
916	6599	597
917	6607	590
918	6614	582
919	6621	575
920	6629	568
921	6635	561
922	6642	554
923	6649	546
924	6656	539
925	6663	532
926	6670	525
927	6677	518
928	6684	510
929	6691	503
930	6698	496
931	6704	489
932	6711	481
933	6718	474
934	6725	467
935	6732	460
936	6739	453
937	6746	445
938	6753	438
939	6759	431
940	6766	424
941	6773	417
942	6780	409
943	6787	402
944	6794	395
945	6800	388
946	6807	380
947	6814	373
948	6821	366
949	6828	359
950	6835	352
951	6844	345
952	6851	337
953	6857	330
954	6864	323
955	6871	316
956	6878	309
957	6885	301
958	6892	294
959	6899	287
960	6906	280
961	6913	273
962	6920	265
963	6927	258
964	6934	251
965	6941	244
966	6947	237
967	6954	229
968	6961	222
969	6968	215
970	6975	208
971	6982	201
972	6989	193
973	6996	186
974	7003	179
975	7009	172
976	7016	165
977	7023	157
978	7030	150
979	7037	143
980	7044	136
981	7051	129
982	7057	122
983	7063	114
984	7070	107
985	7077	100
986	7084	93
987	7090	86
988	7097	78
989	7104	71
990	7110	64
991	7117	57
992	7124	50
993	7130	43
994	7137	35
995	7144	28
996	7150	21
997	7157	14
998	7164	7
999	7171	0
